Customer_ID,Customer,Segment,Industry,Region,Subregion,Country,City
1022,Comcast,Smb,Communications,EMEA,EU-WEST,Poland,Warsaw
1007,Amerisourcebergen,Smb,Healthcare,AMER,NAMER,United States,Newark
1055,Johnson & Johnson,Enterprise,Healthcare,AMER,LATAM,Chile,Puente Alto
1033,Honhai Precision Industry,Enterprise,Tech,AMER,NAMER,Canada,Toronto
1005,American Express,Smb,Finance,AMER,NAMER,Canada,Toronto
1054,J.P. Morgan Chase & Co.,Smb,Finance,AMER,NAMER,United States,New York City
1057,Kroger,Smb,Retail,EMEA,EU-WEST,France,Paris
1046,Volkswagen,Smb,Manufacturing,AMER,NAMER,Canada,Toronto
1064,Merck,Strategic,Healthcare,APJ,ANZ,Australia,Melbourne
1010,At&T,Enterprise,Communications,AMER,NAMER,United States,Raleigh
1003,Allstate,Strategic,Finance,AMER,NAMER,United States,Providence
1039,Bmw,Enterprise,Manufacturing,AMER,LATAM,Argentina,Córdoba
1049,Humana,Strategic,Healthcare,EMEA,EU-WEST,France,Paris
1081,Sprint Nextel,Smb,Communications,APJ,JAPN,Japan,Aichi
1080,Allianz,Smb,Finance,AMER,NAMER,United States,New York City
1090,United Parcel Service,Smb,Transportation,EMEA,MEA,South Africa,Johannesburg
1085,Target,Smb,Retail,APJ,ANZ,Australia,Sydney
1030,Airbus,Enterprise,Manufacturing,EMEA,EU-WEST,Luxembourg,Luxembourg
1038,Cigna,Smb,Healthcare,AMER,NAMER,United States,Los Angeles
1042,Goldman Sachs Group,Smb,Finance,EMEA,UKIR,United Kingdom,London
1060,Lowes,Smb,Retail,APJ,ANZ,Australia,Sydney
1009,Ford Motor,Smb,Manufacturing,AMER,NAMER,United States,Detroit
1008,Apple,Strategic,Tech,AMER,NAMER,United States,Los Angeles
1023,China National Petroleum,Strategic,Energy,EMEA,EU-WEST,France,Paris
1024,Conocophillips,Smb,Energy,AMER,NAMER,United States,New York City
1076,Bosch,Smb,Tech,EMEA,EU-WEST,Spain,Madrid
1070,Hsbc Holdings,Strategic,Finance,AMER,LATAM,Argentina,Mendoza
1013,Enel,Strategic,Energy,EMEA,EU-WEST,Germany,Leipzig
1084,Sysco,Smb,Consumer Products,EMEA,UKIR,United Kingdom,London
1061,Marathon Petroleum,Smb,Energy,EMEA,UKIR,United Kingdom,London
1092,Unitedhealth Group,Smb,Healthcare,AMER,NAMER,Canada,Vancouver
1050,Mitsubishi,Strategic,Manufacturing,APJ,ANZ,Australia,Adelaide
1034,Exxon Mobil,Enterprise,Energy,EMEA,EU-EAST,Israel,Tel Aviv
1029,Anthem,Smb,Healthcare,AMER,NAMER,United States,Columbus
1018,Petrobras,Strategic,Energy,EMEA,EU-EAST,Russia,Yekaterinburg
1044,Lukoil,Smb,Energy,EMEA,NOR,Finland,Helsinki
1021,Coca-Cola,Smb,Consumer Products,APJ,JAPN,Japan,Tokyo
1073,Pepsico,Strategic,Consumer Products,AMER,LATAM,Brazil,São Paulo
1040,General Electric,Smb,Finance,EMEA,EU-WEST,France,Paris
1012,Berkshire Hathaway,Strategic,Finance,AMER,NAMER,United States,New York City
1097,Walt Disney,Enterprise,Communications,EMEA,UKIR,United Kingdom,London
1053,Alphabet,Smb,Tech,AMER,NAMER,United States,Seattle
1086,Huawei,Strategic,Tech,APJ,JAPN,Japan,Aichi
1071,News Corp.,Smb,Other,APJ,JAPN,Japan,Hyogo
1016,Caterpillar,Smb,Manufacturing,EMEA,EU-WEST,Spain,Madrid
1020,Citigroup,Smb,Finance,AMER,LATAM,Mexico,Mexico City
1091,Panasonic,Strategic,Tech,AMER,NAMER,United States,New York City
1079,Safeway,Strategic,Retail,EMEA,EU-WEST,Germany,Stuttgart
